0.19,0.19,0.19,0.19,1.21,3.23,23.17,0.00,0.00,0.19,0.19,0.19
0.19,0.19,0.19,0.19,0.50,6.73,22.30,0.00,0.00,0.00,0.00,0.00
0.19,0.19,0.19,0.19,2.27,34.09,153.45,11.41,7.10,0.00,0.00,0.00
0.19,0.19,0.19,0.19,1.32,48.27,98.67,0.00,9.64,0.00,0.00,0.00
0.19,0.19,0.32,0.40,32.99,30.79,0.00,7.64,4.73,0.00,0.00,0.00
0.19,0.46,0.65,28.12,28.00,0.00,0.00,5.67,9.11,0.00,18.14,0.00
0.00,9.47,25.98,36.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.81,8.44,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.56,0.00,0.00
258.80,154.48,119.51,47.01,44.97,99.01,196.74,350.26,404.55,388.60,81.99,60.56
445.44,473.45,474.84,446.38,445.55,464.63,467.11,452.32,508.82,483.07,422.71,408.04
237.82,324.20,381.06,401.92,396.18,359.63,286.07,114.45,136.78,392.10,433.33,425.13
