0.00,0.00,0.00,0.00,1.40,7.16,64.28,70.02,42.14,52.06,46.30,19.18
0.00,0.00,0.00,0.00,2.17,30.17,154.31,142.07,117.80,128.84,116.70,24.78
0.00,0.00,0.00,0.00,0.41,54.66,219.47,185.37,245.98,236.87,233.20,115.35
0.00,0.00,0.00,0.00,0.44,81.02,226.67,203.97,244.62,241.46,258.36,159.57
0.00,0.00,0.42,0.63,64.77,149.59,222.40,227.44,247.31,243.06,259.35,171.83
0.00,0.25,1.09,42.50,122.00,194.49,190.19,233.83,251.54,240.54,238.07,265.69
1.09,10.65,50.98,126.40,177.30,193.90,221.28,234.27,244.46,234.01,234.13,278.94
92.99,107.57,116.34,155.06,177.63,221.31,229.20,234.59,239.05,239.32,236.69,248.46
135.91,143.21,159.85,197.88,219.29,230.94,239.79,236.42,245.82,245.85,242.28,227.54
185.73,193.36,215.89,220.62,229.50,235.94,213.68,192.40,236.31,239.18,236.64,217.20
124.37,144.22,153.05,144.79,130.75,131.71,116.10,121.96,205.37,207.50,164.80,158.59
42.04,84.32,98.85,97.55,92.70,84.18,86.19,42.31,33.48,96.44,113.96,126.06
